_________________________________________________________
    n    |         u(n)          |          sum
      146|           5.68352e+104|           3.85417e+104
      147|          -1.19199e+105|           -8.0657e+104
      148|           2.48325e+105|           1.67668e+105
      149|          -5.13906e+105|          -3.46238e+105
      150|           1.05653e+106|           7.10289e+105
      151|          -2.15789e+106|           -1.4476e+106
      152|           4.37875e+106|           2.93114e+106
      153|          -8.82794e+106|          -5.89679e+106
      154|           1.76838e+107|            1.1787e+107
      155|          -3.51979e+107|          -2.34109e+107
      156|           6.96147e+107|           4.62038e+107
      157|          -1.36819e+108|          -9.06149e+107
      158|           2.67219e+108|           1.76604e+108
      159|           -5.1866e+108|          -3.42056e+108
      160|           1.00048e+109|           6.58426e+108
      161|          -1.91807e+109|          -1.25964e+109
      162|           3.65478e+109|           2.39514e+109
      163|          -6.92181e+109|          -4.52666e+109
      164|           1.30303e+110|           8.50361e+109
      165|          -2.43826e+110|          -1.58789e+110
      166|           4.53536e+110|           2.94747e+110
      167|          -8.38625e+110|          -5.43878e+110
      168|           1.54156e+111|           9.97685e+110
      169|          -2.81714e+111|          -1.81945e+111
      170|           5.11825e+111|            3.2988e+111
      171|          -9.24525e+111|          -5.94644e+111
      172|            1.6604e+112|           1.06575e+112
      173|          -2.96495e+112|          -1.89919e+112
      174|           5.26438e+112|           3.36519e+112
      175|           -9.2943e+112|          -5.92912e+112
      176|            1.6317e+113|           1.03879e+113
      177|          -2.84859e+113|           -1.8098e+113
      178|           4.94539e+113|           3.13559e+113
      179|          -8.53819e+113|           -5.4026e+113
      180|           1.46601e+114|           9.25753e+113
      181|           -2.5034e+114|          -1.57765e+114
      182|           4.25163e+114|           2.67399e+114
      183|          -7.18171e+114|          -4.50772e+114
      184|           1.20659e+115|           7.55815e+114
      185|          -2.01633e+115|          -1.26051e+115
      186|           3.35156e+115|           2.09105e+115
      187|          -5.54152e+115|          -3.45047e+115
      188|           9.11421e+115|           5.66374e+115
      189|          -1.49118e+116|          -9.24805e+115
      190|           2.42702e+116|           1.50221e+116
      191|           -3.9297e+116|          -2.42749e+116
      192|           6.32997e+116|           3.90248e+116
      193|          -1.01441e+117|          -6.24157e+116
      194|           1.61733e+117|           9.93177e+116
      195|          -2.56554e+117|          -1.57236e+117
      196|           4.04909e+117|           2.47673e+117
      197|          -6.35841e+117|          -3.88168e+117
      198|           9.93489e+117|           6.05321e+117
      199|          -1.54458e+118|          -9.39264e+117
      200|           2.38949e+118|           1.45023e+118
      201|          -3.67836e+118|          -2.22813e+118
      202|           5.63467e+118|           3.40654e+118
      203|          -8.58933e+118|          -5.18279e+118
      204|           1.30298e+119|           7.84698e+118
      205|          -1.96703e+119|          -1.18233e+119
      206|           2.95524e+119|           1.77291e+119
      207|          -4.41867e+119|          -2.64576e+119
      208|           6.57533e+119|           3.92957e+119
      209|          -9.73824e+119|          -5.80867e+119
      210|           1.43545e+120|           8.54588e+119
      211|          -2.10598e+120|           -1.2514e+120
      212|           3.07529e+120|            1.8239e+120
      213|          -4.46986e+120|          -2.64596e+120
      214|           6.46673e+120|           3.82078e+120
      215|          -9.31259e+120|          -5.49182e+120
      216|           1.33493e+121|           7.85752e+120
      217|          -1.90485e+121|           -1.1191e+121
      218|           2.70573e+121|           1.58663e+121
      219|          -3.82593e+121|           -2.2393e+121
      220|           5.38555e+121|           3.14624e+121
      221|          -7.54693e+121|          -4.40069e+121
      222|           1.05285e+122|           6.12785e+121
      223|          -1.46228e+122|          -8.49498e+121
      224|           2.02194e+122|           1.17244e+122
      225|          -2.78348e+122|          -1.61104e+122
      226|           3.81504e+122|             2.204e+122
      227|          -5.20607e+122|          -3.00206e+122
      228|           7.07339e+122|           4.07133e+122
      229|           -9.5689e+122|          -5.49756e+122
      230|            1.2889e+123|           7.39145e+122
      231|          -1.72866e+123|          -9.89516e+122
      232|           2.30855e+123|           1.31904e+123
      233|          -3.06986e+123|          -1.75082e+123
      234|           4.06492e+123|            2.3141e+123
      235|          -5.35982e+123|          -3.04572e+123
      236|           7.03752e+123|            3.9918e+123
      237|          -9.20169e+123|          -5.20989e+123
      238|           1.19813e+124|           6.77137e+123
      239|          -1.55357e+124|          -8.76436e+123
      240|           2.00615e+124|           1.12971e+124
      241|           -2.5799e+124|          -1.45019e+124
      242|           3.30415e+124|           1.85396e+124
      243|          -4.21444e+124|          -2.36048e+124
      244|           5.35366e+124|           2.99318e+124
      245|           -6.7733e+124|          -3.78012e+124
      246|           8.53484e+124|           4.75472e+124
      247|          -1.07113e+125|          -5.95659e+124
      248|            1.3389e+125|           7.43244e+124
      249|          -1.66695e+125|          -9.23703e+124
      250|           2.06713e+125|           1.14343e+125
      251|          -2.55325e+125|          -1.40983e+125
      252|           3.14128e+125|           1.73145e+125
      253|          -3.84958e+125|          -2.11812e+125
      254|           4.69916e+125|           2.58103e+125
      255|          -5.71391e+125|          -3.13288e+125
      256|           6.92087e+125|           3.78799e+125
      257|          -8.35041e+125|          -4.56242e+125
      258|           1.00365e+126|           5.47405e+125
      259|          -1.20168e+126|          -6.54271e+125
      260|           1.43329e+126|           7.79016e+125
      261|          -1.70304e+126|          -9.24021e+125
      262|           2.01589e+126|           1.09187e+126
      263|          -2.37721e+126|          -1.28534e+126
      264|           2.79276e+126|           1.50742e+126
      265|          -3.26865e+126|          -1.76124e+126
      266|           3.81137e+126|           2.05013e+126
      267|          -4.42768e+126|          -2.37755e+126
      268|           5.12459e+126|           2.74705e+126
      269|          -5.90931e+126|          -3.16227e+126
      270|           6.78915e+126|           3.62688e+126
      271|          -7.77141e+126|          -4.14453e+126
      272|           8.86331e+126|           4.71879e+126
      273|          -1.00719e+127|          -5.35309e+126
      274|           1.14038e+127|           6.05068e+126
      275|          -1.28652e+127|           -6.8145e+126
      276|           1.44617e+127|           7.64717e+126
      277|           -1.6198e+127|          -8.55084e+126
      278|            1.8078e+127|           9.52717e+126
      279|          -2.01044e+127|          -1.05772e+127
      280|           2.22787e+127|           1.17014e+127
      281|          -2.46009e+127|          -1.28994e+127
      282|           2.70695e+127|             1.417e+127
      283|          -2.96812e+127|          -1.55112e+127
      284|           3.24312e+127|             1.692e+127
      285|          -3.53125e+127|          -1.83925e+127
      286|           3.83163e+127|           1.99238e+127
      287|          -4.14318e+127|           -2.1508e+127
      288|            4.4646e+127|           2.31381e+127
      289|          -4.79443e+127|          -2.48063e+127
      290|             5.131e+127|           2.65037e+127
      291|          -5.47245e+127|          -2.82208e+127
      292|           5.81677e+127|           2.99469e+127
      293|           -6.1618e+127|           -3.1671e+127
      294|           6.50524e+127|           3.33813e+127
      295|           -6.8447e+127|          -3.50656e+127
      296|            7.1777e+127|           3.67114e+127
      297|          -7.50174e+127|           -3.8306e+127
      298|           7.81427e+127|           3.98367e+127
      299|          -8.11277e+127|          -4.12911e+127
      300|            8.3948e+127|           4.26569e+127
      301|          -8.65795e+127|          -4.39226e+127
      302|           8.89998e+127|           4.50772e+127
      303|          -9.11879e+127|          -4.61106e+127
      304|           9.31244e+127|           4.70137e+127
      305|          -9.47922e+127|          -4.77785e+127
      306|           9.61766e+127|           4.83982e+127
      307|          -9.72655e+127|          -4.88674e+127
      308|           9.80494e+127|            4.9182e+127
      309|          -9.85218e+127|          -4.93397e+127
      310|           9.86792e+127|           4.93394e+127
      311|           -9.8521e+127|          -4.91816e+127
      312|           9.80499e+127|           4.88683e+127
      313|          -9.72712e+127|          -4.84029e+127
      314|           9.61934e+127|           4.77904e+127
      315|          -9.48274e+127|          -4.70369e+127
      316|           9.31868e+127|           4.61499e+127
      317|          -9.12876e+127|          -4.51377e+127
      318|           8.91476e+127|           4.40099e+127
      319|          -8.67866e+127|          -4.27767e+127
      320|           8.42257e+127|            4.1449e+127
      321|          -8.14873e+127|          -4.00383e+127
      322|           7.85946e+127|           3.85563e+127
      323|          -7.55714e+127|          -3.70151e+127
      324|           7.24416e+127|           3.54265e+127
      325|           -6.9229e+127|          -3.38025e+127
      326|           6.59572e+127|           3.21547e+127
      327|           -6.2649e+127|          -3.04943e+127
      328|           5.93265e+127|           2.88321e+127
      329|          -5.60104e+127|          -2.71782e+127
      330|           5.27204e+127|           2.55421e+127
      331|          -4.94746e+127|          -2.39325e+127
      332|           4.62896e+127|           2.23572e+127
      333|          -4.31804e+127|          -2.08233e+127
      334|           4.01602e+127|           1.93369e+127
      335|          -3.72404e+127|          -1.79034e+127
      336|           3.44307e+127|           1.65272e+127
      337|           -3.1739e+127|          -1.52118e+127
      338|           2.91718e+127|             1.396e+127
      339|          -2.67336e+127|          -1.27736e+127
      340|           2.44275e+127|           1.16539e+127
      341|          -2.22553e+127|          -1.06014e+127
      342|           2.02173e+127|            9.6159e+126
      343|          -1.83127e+127|          -8.69677e+126
      344|           1.65396e+127|           7.84279e+126
      345|          -1.48951e+127|          -7.05229e+126
      346|           1.33755e+127|           6.32326e+126
      347|          -1.19766e+127|          -5.65336e+126
      348|           1.06934e+127|           5.04001e+126
      349|          -9.52041e+126|          -4.48041e+126
      350|           8.45204e+126|           3.97163e+126
      351|           -7.4823e+126|          -3.51067e+126
      352|           6.60511e+126|           3.09444e+126
      353|          -5.81433e+126|          -2.71989e+126
      354|           5.10385e+126|           2.38396e+126
      355|          -4.46764e+126|          -2.08368e+126
      356|           3.89981e+126|           1.81613e+126
      357|          -3.39467e+126|          -1.57854e+126
      358|           2.94675e+126|           1.36821e+126
      359|          -2.55085e+126|          -1.18263e+126
      360|           2.20204e+126|            1.0194e+126
      361|          -1.89568e+126|          -8.76282e+125
      362|           1.62747e+126|           7.51188e+125
      363|          -1.39338e+126|          -6.42189e+125
      364|            1.1897e+126|           5.47507e+125
      365|          -1.01302e+126|          -4.65514e+125
      366|           8.60238e+125|           3.94725e+125
      367|          -7.28519e+125|          -3.33794e+125
      368|           6.15301e+125|           2.81507e+125
      369|          -5.18277e+125|           -2.3677e+125
      370|           4.35379e+125|           1.98609e+125
      371|           -3.6476e+125|          -1.66151e+125
      372|           3.04778e+125|           1.38627e+125
      373|          -2.53981e+125|          -1.15354e+125
      374|           2.11087e+125|           9.57331e+124
      375|          -1.74972e+125|           -7.9239e+124
      376|           1.44652e+125|           6.54134e+124
      377|          -1.19271e+125|          -5.38577e+124
      378|           9.80844e+124|           4.42267e+124
      379|          -8.04495e+124|          -3.62228e+124
      380|           6.58125e+124|           2.95897e+124
      381|           -5.3698e+124|          -2.41083e+124
      382|           4.36994e+124|           1.95911e+124
      383|          -3.54702e+124|          -1.58791e+124
      384|           2.87161e+124|            1.2837e+124
      385|           -2.3188e+124|          -1.03509e+124
      386|           1.86758e+124|           8.32485e+123
      387|           -1.5003e+124|          -6.67815e+123
      388|           1.20216e+124|           5.34345e+123
      389|          -9.60802e+123|          -4.26457e+123
      390|           7.65943e+123|           3.39486e+123
      391|           -6.0905e+123|          -2.69564e+123
      392|           4.83064e+123|           2.13501e+123
      393|           -3.8217e+123|          -1.68669e+123
      394|           3.01585e+123|           1.32916e+123
      395|          -2.37393e+123|          -1.04477e+123
      396|           1.86395e+123|           8.19174e+122
      397|          -1.45985e+123|           -6.4068e+122
      398|           1.14051e+123|           4.99827e+122
      399|          -8.88797e+122|          -3.88969e+122
      400|           6.90916e+122|           3.01946e+122
      401|          -5.35758e+122|          -2.33812e+122
      402|           4.14415e+122|           1.80604e+122
      403|          -3.19764e+122|           -1.3916e+122
      404|           2.46123e+122|           1.06963e+122
      405|          -1.88976e+122|          -8.20131e+121
      406|           1.44742e+122|           6.27291e+121
      407|          -1.10591e+122|          -4.78621e+121
      408|           8.42918e+121|           3.64297e+121
      409|          -6.40903e+121|          -2.76606e+121
      410|            4.8612e+121|           2.09514e+121
      411|          -3.67826e+121|          -1.58312e+121
      412|           2.77646e+121|           1.19334e+121
      413|           -2.0907e+121|          -8.97361e+120
      414|           1.57053e+121|           6.73172e+120
      415|          -1.17695e+121|          -5.03783e+120
      416|           8.79898e+120|           3.76115e+120
      417|          -6.56247e+120|          -2.80131e+120
      418|           4.88277e+120|           2.08146e+120
      419|          -3.62438e+120|          -1.54292e+120
      420|           2.68392e+120|             1.141e+120
      421|           -1.9828e+120|          -8.41792e+119
      422|           1.46137e+120|           6.19581e+119
      423|          -1.07454e+120|          -4.54955e+119
      424|           7.88243e+119|           3.33288e+119
      425|          -5.76874e+119|          -2.43586e+119
      426|           4.21198e+119|           1.77611e+119
      427|          -3.06816e+119|          -1.29204e+119
      428|           2.22976e+119|           9.37717e+118
      429|           -1.6167e+119|          -6.78984e+118
      430|           1.16949e+119|           4.90502e+118
      431|          -8.44026e+118|          -3.53524e+118
      432|           6.07736e+118|           2.54212e+118
      433|          -4.36591e+118|          -1.82379e+118
      434|           3.12922e+118|           1.30544e+118
      435|          -2.23771e+118|          -9.32277e+117
      436|           1.59654e+118|            6.6426e+117
      437|          -1.13648e+118|          -4.72224e+117
      438|            8.0716e+117|           3.34936e+117
      439|          -5.71966e+117|           -2.3703e+117
      440|           4.04386e+117|           1.67357e+117
      441|          -2.85261e+117|          -1.17904e+117
      442|           2.00774e+117|           8.28703e+116
      443|          -1.40993e+117|          -5.81224e+116
      444|           9.87895e+116|           4.06671e+116
      445|          -6.90641e+116|           -2.8397e+116
      446|           4.81751e+116|           1.97782e+116
      447|          -3.35294e+116|          -1.37512e+116
      448|           2.32842e+116|           9.53301e+115
