_________________________________________________________
    n    |         u(n)          |          sum
      630|            1.94954e+73|          -2.30418e+112
      631|           -9.62447e+72|          -2.30418e+112
      632|            4.74392e+72|          -2.30418e+112
      633|            -2.3346e+72|          -2.30418e+112
      634|            1.14711e+72|          -2.30418e+112
      635|            -5.6275e+71|          -2.30418e+112
      636|            2.75641e+71|          -2.30418e+112
      637|           -1.34801e+71|          -2.30418e+112
      638|            6.58207e+70|          -2.30418e+112
      639|           -3.20888e+70|          -2.30418e+112
      640|            1.56195e+70|          -2.30418e+112
      641|           -7.59114e+69|          -2.30418e+112
      642|            3.68358e+69|          -2.30418e+112
      643|           -1.78468e+69|          -2.30418e+112
      644|            8.63331e+68|          -2.30418e+112
      645|           -4.16987e+68|          -2.30418e+112
      646|            2.01093e+68|          -2.30418e+112
      647|           -9.68282e+67|          -2.30418e+112
      648|            4.65519e+67|          -2.30418e+112
      649|           -2.23463e+67|          -2.30418e+112
      650|            1.07105e+67|          -2.30418e+112
      651|            -5.1256e+66|          -2.30418e+112
      652|            2.44916e+66|          -2.30418e+112
      653|           -1.16849e+66|          -2.30418e+112
      654|            5.56635e+65|          -2.30418e+112
      655|           -2.64761e+65|          -2.30418e+112
      656|            1.25741e+65|          -2.30418e+112
      657|           -5.96269e+64|          -2.30418e+112
      658|            2.82324e+64|          -2.30418e+112
      659|           -1.33474e+64|          -2.30418e+112
      660|            6.30068e+63|          -2.30418e+112
      661|           -2.96977e+63|          -2.30418e+112
      662|            1.39767e+63|          -2.30418e+112
      663|           -6.56799e+62|          -2.30418e+112
      664|            3.08182e+62|          -2.30418e+112
      665|           -1.44388e+62|          -2.30418e+112
      666|            6.75468e+61|          -2.30418e+112
      667|           -3.15521e+61|          -2.30418e+112
      668|            1.47164e+61|          -2.30418e+112
      669|           -6.85378e+60|          -2.30418e+112
      670|            3.18721e+60|          -2.30418e+112
      671|           -1.47994e+60|          -2.30418e+112
      672|            6.86174e+59|          -2.30418e+112
      673|           -3.17673e+59|          -2.30418e+112
      674|            1.46853e+59|          -2.30418e+112
      675|           -6.77866e+58|          -2.30418e+112
      676|            3.12438e+58|          -2.30418e+112
      677|           -1.43795e+58|          -2.30418e+112
      678|            6.60821e+57|          -2.30418e+112
      679|            -3.0324e+57|          -2.30418e+112
      680|            1.38948e+57|          -2.30418e+112
      681|           -6.35741e+56|          -2.30418e+112
      682|            2.90452e+56|          -2.30418e+112
      683|           -1.32505e+56|          -2.30418e+112
      684|            6.03613e+55|          -2.30418e+112
      685|           -2.74569e+55|          -2.30418e+112
      686|            1.24713e+55|          -2.30418e+112
      687|           -5.65643e+54|          -2.30418e+112
      688|            2.56179e+54|          -2.30418e+112
      689|           -1.15855e+54|          -2.30418e+112
      690|            5.23188e+53|          -2.30418e+112
      691|           -2.35925e+53|          -2.30418e+112
      692|            1.06234e+53|          -2.30418e+112
      693|           -4.77672e+52|          -2.30418e+112
      694|            2.14472e+52|          -2.30418e+112
      695|           -9.61582e+51|          -2.30418e+112
      696|            4.30507e+51|          -2.30418e+112
      697|           -1.92466e+51|          -2.30418e+112
      698|             8.5922e+50|          -2.30418e+112
      699|           -3.83033e+50|          -2.30418e+112
      700|             1.7051e+50|          -2.30418e+112
      701|           -7.57954e+49|          -2.30418e+112
      702|            3.36449e+49|          -2.30418e+112
      703|           -1.49135e+49|          -2.30418e+112
      704|            6.60123e+48|          -2.30418e+112
      705|            -2.9178e+48|          -2.30418e+112
      706|            1.28787e+48|          -2.30418e+112
      707|           -5.67643e+47|          -2.30418e+112
      708|            2.49842e+47|          -2.30418e+112
      709|           -1.09811e+47|          -2.30418e+112
      710|            4.81965e+46|          -2.30418e+112
      711|            -2.1124e+46|          -2.30418e+112
      712|            9.24543e+45|          -2.30418e+112
      713|           -4.04083e+45|          -2.30418e+112
      714|            1.76363e+45|          -2.30418e+112
      715|           -7.68666e+44|          -2.30418e+112
      716|            3.34552e+44|          -2.30418e+112
      717|           -1.45406e+44|          -2.30418e+112
      718|            6.31104e+43|          -2.30418e+112
      719|           -2.73536e+43|          -2.30418e+112
      720|            1.18393e+43|          -2.30418e+112
      721|           -5.11728e+42|          -2.30418e+112
      722|            2.20877e+42|          -2.30418e+112
      723|           -9.52054e+41|          -2.30418e+112
      724|            4.09802e+41|          -2.30418e+112
      725|           -1.76153e+41|          -2.30418e+112
      726|             7.5615e+40|          -2.30418e+112
      727|           -3.24138e+40|          -2.30418e+112
      728|            1.38758e+40|          -2.30418e+112
      729|           -5.93183e+39|          -2.30418e+112
      730|            2.53237e+39|          -2.30418e+112
      731|           -1.07963e+39|          -2.30418e+112
      732|            4.59649e+38|          -2.30418e+112
      733|           -1.95429e+38|          -2.30418e+112
      734|            8.29776e+37|          -2.30418e+112
      735|           -3.51838e+37|          -2.30418e+112
      736|            1.48983e+37|          -2.30418e+112
      737|           -6.30001e+36|          -2.30418e+112
      738|            2.66048e+36|          -2.30418e+112
      739|           -1.12199e+36|          -2.30418e+112
      740|            4.72538e+35|          -2.30418e+112
      741|           -1.98745e+35|          -2.30418e+112
      742|            8.34784e+34|          -2.30418e+112
      743|           -3.50161e+34|          -2.30418e+112
      744|            1.46682e+34|          -2.30418e+112
      745|           -6.13631e+33|          -2.30418e+112
      746|            2.56363e+33|          -2.30418e+112
      747|            -1.0696e+33|          -2.30418e+112
      748|            4.45668e+32|          -2.30418e+112
      749|           -1.85448e+32|          -2.30418e+112
      750|            7.70642e+31|          -2.30418e+112
      751|           -3.19821e+31|          -2.30418e+112
      752|            1.32552e+31|          -2.30418e+112
      753|           -5.48641e+30|          -2.30418e+112
      754|            2.26786e+30|          -2.30418e+112
      755|           -9.36203e+29|          -2.30418e+112
      756|            3.85967e+29|          -2.30418e+112
      757|           -1.58913e+29|          -2.30418e+112
      758|            6.53423e+28|          -2.30418e+112
      759|           -2.68324e+28|          -2.30418e+112
      760|            1.10041e+28|          -2.30418e+112
      761|           -4.50691e+27|          -2.30418e+112
      762|            1.84347e+27|          -2.30418e+112
      763|            -7.5305e+26|          -2.30418e+112
      764|            3.07217e+26|          -2.30418e+112
      765|            -1.2517e+26|          -2.30418e+112
      766|            5.09316e+25|          -2.30418e+112
      767|           -2.06972e+25|          -2.30418e+112
      768|            8.39981e+24|          -2.30418e+112
      769|           -3.40459e+24|          -2.30418e+112
      770|            1.37815e+24|          -2.30418e+112
      771|           -5.57144e+23|          -2.30418e+112
      772|            2.24945e+23|          -2.30418e+112
      773|           -9.07035e+22|          -2.30418e+112
      774|            3.65268e+22|          -2.30418e+112
      775|           -1.46906e+22|          -2.30418e+112
      776|             5.9008e+21|          -2.30418e+112
      777|           -2.36713e+21|          -2.30418e+112
      778|             9.4837e+20|          -2.30418e+112
      779|           -3.79469e+20|          -2.30418e+112
      780|            1.51642e+20|          -2.30418e+112
      781|           -6.05212e+19|          -2.30418e+112
      782|            2.41235e+19|          -2.30418e+112
      783|           -9.60331e+18|          -2.30418e+112
      784|            3.81811e+18|          -2.30418e+112
      785|           -1.51608e+18|          -2.30418e+112
      786|            6.01238e+17|          -2.30418e+112
      787|           -2.38133e+17|          -2.30418e+112
      788|             9.4198e+16|          -2.30418e+112
      789|           -3.72147e+16|          -2.30418e+112
      790|            1.46838e+16|          -2.30418e+112
      791|            -5.7865e+15|          -2.30418e+112
      792|            2.27743e+15|          -2.30418e+112
      793|           -8.95216e+14|          -2.30418e+112
      794|            3.51451e+14|          -2.30418e+112
      795|           -1.37802e+14|          -2.30418e+112
      796|            5.39638e+13|          -2.30418e+112
      797|            -2.1106e+13|          -2.30418e+112
      798|            8.24451e+12|          -2.30418e+112
      799|           -3.21649e+12|          -2.30418e+112
      800|            1.25331e+12|          -2.30418e+112
      801|           -4.87744e+11|          -2.30418e+112
      802|            1.89577e+11|          -2.30418e+112
      803|           -7.35934e+10|          -2.30418e+112
      804|            2.85334e+10|          -2.30418e+112
      805|           -1.10492e+10|          -2.30418e+112
      806|            4.27335e+09|          -2.30418e+112
      807|            -1.6507e+09|          -2.30418e+112
      808|            6.36845e+08|          -2.30418e+112
      809|           -2.45393e+08|          -2.30418e+112
      810|            9.44401e+07|          -2.30418e+112
      811|           -3.63008e+07|          -2.30418e+112
      812|            1.39361e+07|          -2.30418e+112
      813|           -5.34359e+06|          -2.30418e+112
      814|            2.04641e+06|          -2.30418e+112
      815|                -782745|          -2.30418e+112
      816|                 299031|          -2.30418e+112
      817|                -114099|          -2.30418e+112
      818|                43482.9|          -2.30418e+112
      819|                 -16551|          -2.30418e+112
      820|                 6292.2|          -2.30418e+112
      821|                -2389.2|          -2.30418e+112
      822|                906.098|          -2.30418e+112
      823|               -343.219|          -2.30418e+112
      824|                 129.85|          -2.30418e+112
      825|               -49.0665|          -2.30418e+112
      826|                18.5184|          -2.30418e+112
      827|                -6.9807|          -2.30418e+112
      828|                2.62828|          -2.30418e+112
      829|               -0.98837|          -2.30418e+112
      830|               0.371232|          -2.30418e+112
      831|              -0.139268|          -2.30418e+112
      832|              0.0521836|          -2.30418e+112
      833|             -0.0195298|          -2.30418e+112
      834|              0.0073003|          -2.30418e+112
      835|            -0.00272562|          -2.30418e+112
      836|             0.00101641|          -2.30418e+112
      837|           -0.000378581|          -2.30418e+112
      838|            0.000140841|          -2.30418e+112
      839|           -5.23339e-05|          -2.30418e+112
      840|            1.94232e-05|          -2.30418e+112
      841|           -7.20017e-06|          -2.30418e+112
      842|            2.66594e-06|          -2.30418e+112
      843|           -9.85923e-07|          -2.30418e+112
      844|            3.64185e-07|          -2.30418e+112
      845|           -1.34366e-07|          -2.30418e+112
      846|            4.95156e-08|          -2.30418e+112
      847|           -1.82257e-08|          -2.30418e+112
      848|            6.70062e-09|          -2.30418e+112
      849|           -2.46057e-09|          -2.30418e+112
      850|            9.02496e-10|          -2.30418e+112
      851|           -3.30633e-10|          -2.30418e+112
      852|            1.20987e-10|          -2.30418e+112
      853|           -4.42203e-11|          -2.30418e+112
      854|            1.61435e-11|          -2.30418e+112
      855|           -5.88663e-12|          -2.30418e+112
      856|            2.14402e-12|          -2.30418e+112
      857|           -7.79984e-13|          -2.30418e+112
      858|            2.83424e-13|          -2.30418e+112
      859|           -1.02869e-13|          -2.30418e+112
      860|            3.72929e-14|          -2.30418e+112
      861|           -1.35041e-14|          -2.30418e+112
      862|            4.88428e-15|          -2.30418e+112
      863|           -1.76455e-15|          -2.30418e+112
      864|            6.36746e-16|          -2.30418e+112
      865|           -2.29507e-16|          -2.30418e+112
      866|            8.26279e-17|          -2.30418e+112
      867|           -2.97137e-17|          -2.30418e+112
      868|             1.0673e-17|          -2.30418e+112
      869|            -3.8293e-18|          -2.30418e+112
      870|            1.37231e-18|          -2.30418e+112
      871|           -4.91233e-19|          -2.30418e+112
      872|            1.75641e-19|          -2.30418e+112
      873|           -6.27289e-20|          -2.30418e+112
      874|            2.23776e-20|          -2.30418e+112
      875|           -7.97376e-21|          -2.30418e+112
      876|            2.83804e-21|          -2.30418e+112
      877|           -1.00897e-21|          -2.30418e+112
      878|              3.583e-22|          -2.30418e+112
      879|           -1.27093e-22|          -2.30418e+112
First EPS-locality occurence is attained at n = 879
